Question,Best Answer,Correct Answers,Incorrect Answers
"Carol A. Beier (born September 27, 1958) is a Kansas Supreme Court Justice appointed by Governor Kathleen Sebelius.Kathleen Sebelius ( ; ""née"" Gilligan; born May 15, 1948) is an American politician who served as the 21st United States Secretary of Health and Human Services from 2009 until 2014. Carol A. Beier was a Kansas Supreme Court justice appointed by the politician who served as Secretary of what Cabinet position?",Health and Human Services,Health and Human Services,Carol A. Beier was a Kansas Supreme Court justice appointed by the politician who served as Secretary of Education.
"His work also extends to projects with One Direction, Nick Jonas, Zedd, Flo Rida, Prince Royce, Snoop Dogg and T.I..Geoffrey Royce Rojas (born May 11, 1989), known by his stage name Prince Royce, is an American singer and songwriter from The Bronx. Which American singer and songwriter from The Bronx did Sam Martin do projects with?",Prince Royce,Prince Royce,Sam Martin did not collaborate with any American singer and songwriter from The Bronx.
"""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer. In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","March 28, 1941","The creator of the current arrangement of the ""Simpson's Theme"" was born in 1941."
"Igor Țîgîrlaș (born 24 February 1984) is a Moldovan football midfielder who plays for the Moldovan National Division club Zaria Bălți.Moldova ( or sometimes ), officially the Republic of Moldova (Romanian: ""Republica Moldova"" ,    ), is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south (by way of the disputed territory of Transnistria). Igor Țîgîrlaș plays football for a country that is bordered to the West by what country?",Romania,Romania,Igor Țîgîrlaș plays football for a country that is bordered by Hungary to the West.
"A first-round pick in the 2001 NFL Draft, he played professionally for the Tampa Bay Buccaneers of the NFL.The 2001 NFL draft was the 66th annual meeting of National Football League (NFL) franchises to select newly eligible football players. The draft, which is officially referred to as the ""NFL Player Selection Meeting,"" was held at the Theater at Madison Square Garden in New York City, New York on April 21–22, 2001. Where was the NFL draft held in which Kenyatta Walker was selected in the first round by the Tampa Bay Buccaneers?",Theater at Madison Square Garden,Theater at Madison Square Garden,The NFL draft was held in Los Angeles.
"Another Day is a 2015 YA (young adult) novel by the American author David Levithan. His first book, ""Boy Meets Boy"", was published by Knopf Books for Young Readers in 2003. What is the title of the first book by this American author who wrote the 2015 novel ""Another Day?""",Boy Meets Boy,Boy Meets Boy,"David Levithan's debut book was titled ""Triplets."""
"Anthony ""Tony"" Ingham (18 February 1925 – 21 April 2010) was an English professional footballer who played more than 500 games in the Football League as a defender for Leeds United and Queens Park Rangers.Queens Park Rangers Football Club (also known as QPR) is a professional association football club based in White City, London, that currently plays in the Championship, the second tier of English football. Where was the professional association football club  for whom Tony Ingham as a defender based?","White City, London","White City, London",Tony Ingham played for Queens Park Rangers in Manchester.
"He made his debut for Liverpool during the 1902–3 season, replacing the injured Sam Raybould in what was his only appearance of the season.Liverpool Football Club ( ) is a professional association football club based in Liverpool, Merseyside, England. They compete in the Premier League, the top tier of English football. what premier league team did john carlin play for in 1902?",Liverpool Football Club,Liverpool Football Club,John Carlin did not play for a Premier League team in 1902.
"The Bargee is a 1964 British comedy film directed by Duncan Wood, and starring Harry H. Corbett, Hugh Griffith, Eric Sykes and Ronnie Barker.Eric Sykes, CBE (4 May 1923 – 4 July 2012) was an English radio, stage, television and film writer, comedian, actor, and director whose performing career spanned more than 50 years. Which director/actor was in a British comedy film directed  by Duncan Wood?",Eric Sykes,Eric Sykes,Harry H. Corbett was the director/actor in a British comedy film directed by Duncan Wood.
"He is best known for his leading roles in the television series ""What Happened in Bali"" (2004), ""That Winter, the Wind Blows"" (2013), and ""It's Okay, That's Love"" (2014), as well as the films ""The Classic"" (2003), ""A Dirty Carnival"" (2006), ""A Frozen Flower"" (2008) and ""The King"" (2017).The King (Hangul: 더 킹 ; RR: ""Deo king "" ) is a 2017 South Korean political crime thriller film starring Jo In-sung and Jung Woo-sung. Who costars in The King with the actor who played in ""What Happened in Bali"" and ""That Winter, the Wind Blows""?",Jung Woo-sung,Jung Woo-sung,Song Hye-Kyo.
"Ernest William ""Ernie"" Hine (9 April 1901 – 15 April 1974) was a professional footballer who played for Barnsley, Leicester City, Huddersfield Town and Manchester United.Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football. Nicknamed ""the Red Devils"", the club was founded as Newton Heath LYR Football Club in 1878, changed its name to Manchester United in 1902 and moved to its current stadium, Old Trafford, in 1910. Which professional football club known as ""the Red Devils"" did Ernie Hine play for?",Manchester United Football Club,Manchester United Football Club,Ernie Hine played for Manchester.
"The 2017 edition was be held in Austria (Wels), Czech Republic (Blansko and Brno) and Slovakia (Trnava).Wels (] ) is a city in Upper Austria, on the Traun River near Linz. Which city in Upper Austria did 2017 European Under-23 Baseball Championship hold",Wels,Wels,"The 2017 European Under-23 Baseball Championship was held in Vienna, Austria."
"Justice League: The Flashpoint Paradox is a direct-to-video animated film adaptation of the 2011 comic book crossover ""Flashpoint"" by Geoff Johns and Andy Kubert. The film stars Justin Chambers as Barry Allen / Flash, C. Thomas Howell as Eobard Thawne / Professor Zoom, Michael B. Jordan as Victor Stone / Cyborg, and Kevin McKidd as Thomas Wayne / Batman.""Flashpoint"" is a 2011 comic book crossover story arc published by DC Comics. The core miniseries was written by Geoff Johns and pencilled by Andy Kubert. Who penciled the comic on which the 2011 comic movie starring Justin Chambers is based?",Andy Kubert,Andy Kubert,Andy Kuber was a co-writer.
"David Gordon Green (born April 9, 1975) is an American filmmaker.Larry Martin Hagman (September 21, 1931 November 23, 2012) was an American film and television actor, director and producer best known for playing ruthless oil baron J.R. Ewing in the 1980s primetime television soap opera ""Dallas"" and befuddled astronaut Major Anthony ""Tony"" Nelson in the 1960s sitcom, ""I Dream of Jeannie"". Are David Gordon Green and Larry Hagman both actors?",no,no,"Yes, they are both actors and filmmakers."
"After appearing in television roles throughout the 2000s such as ""Charmed"", he became known for playing Dr. Mark Sloan on the medical drama television series ""Grey's Anatomy"", as well as films, co-starring in ""Marley & Me"" (2008), ""Valentine's Day"" (2010), and ""Burlesque"" (2010).Valentine's Day is a 2010 American romantic comedy film directed by Garry Marshall. Eric Dane co-starred in a film directed by who?",Garry Marshall,Garry Marshall,Rob Marshall.
"Lucas Rodríguez (born 27 April 1997) is an Argentine footballer who plays as a striker for Estudiantes.Club Estudiantes de La Plata (] ), simply referred to as Estudiantes ] , is an Argentine sports club based in La Plata. The club's football team currently competes in the Primera División, where it has spent most of its history. Lucas Rodríguez plays as a striker for a club's football team which currently competes in what division?",Primera División,Primera División,Lucas Rodríguez plays as a midfielder.
"Rocket to the Morgue is a 1942 American locked room mystery novel by Anthony Boucher (originally published as by ""H. H. Holmes"", Boucher's frequent pseudonym when writing mysteries or writing about mysteries, and the pseudonym of a 19th-century American serial killer).Herman Webster Mudgett (May 16, 1861 – May 7, 1896), better known under the name of Dr. Henry Howard Holmes or more commonly H. H. Holmes, was an American serial killer of the 19th century. Rocket to the Morgue is a 1942 mystery novel written by an author who was born in this year?",1861,1861,Rocket to the Morgue is a 1942 mystery novel and its author was born in the 19th century.
